Comment,Sentiment
"Greii cnd zicei ""de la crtie la erpi"". Greii cu privire la corporaii. Greii cnd vorbii de ""dezvoltare personal"". Sau, cel puin, suntei prtinitori (mi-ar fi ruine fa de Domniile voastre s zic ""habarniti"" sau ignorani pentru c suntei persoane de o cultur la care eu niciodat nu voi ajunge, plus c v urmresc i mi plac enorm emisiunile voastre - asta aa, ca s stabilim ""baseline""). Trebuie s discutati i de angajaii care exploateaz corporaia - cci acetia sunt semnificativ mai muli dect invers. Dl. Ptraru a avut o emisiune n care s-a discutat despre ""sfritul epocii de aur al IT-ului n Romnia"" (sau ceva de gen), dar, contrar unui demers jurnalistic, nu a analizat ce anume nseamn asta, i ce anume se ntmpl n corporaii - cine sunt dai afar, ce relevan au proiectele respective. Asta cu privire strict la IT. Nite calcule simple - ct cost, lunar, o echip de 10 developeri, cu salarii cuprinse ntre $1.5K i $3K ? Care trebuie s fie profitul site-ului/platformei respective nct s fie profitabil? Ct trebuie s plteasc clientul (tot o corporaie), n contextul n care angajatorul pltete aproape dublu, aprox ntre $3k i 6K / developer? Dar dac e o echip de 20 developeri? Ce se ntmpl cnd o corporaie supradimensionez echipele ntr-un mod neortodox, justificnd aceste supradimensionri prin complexitatea software-ului, doar ca s ncaseze din ce n ce mai mult? Poi, ca n orice situaie, la un moment dat nu mai ine duma. Deci nu-i chiar ""Huxwell"". Sunt de-acord s facem alian mpotriva bogtanilor hoi, ct timp aliana nu e cu lipitori lenee. Aia cu ""dumanul dumanului meu e prietenul meu"", nu-i chiar aa aici. A scrie mult, dar m tem c diluez ideea, n loc s o dezvolt, mai ales n scris. TLDR: Duma cu ""dezvoltare personal"" o bag toi corporatitii de prin zona (tangenial) IT care nu tiu face nimic i nva s fac origami pe banii corporaiei. i apoi se mir c-o fost dai afar (bine, mpreun cu ia care chiar fceau ceva n echipele respective, pentru c, din nou, calcule simple zic c 3 utili + 3 inutili = echip de 6 ineficieni). i apoi ei zic c s-o dezvoltat personal, iar noi zicem c pic IT-u. P.S. Totui, de ce ine att de mult, uneori, faza asta? Pentru c un proiect (software) e foarte, foarte greu de preluat, mai ales dac e prost fcut. Site-uri cu vechime de 20 ani nu mai pot fi preluate de ctre alt companie dect cu nite dificulti uriae. Deci trebuie discutat i de asta, n contextul concedierilor n mas (renunarea la proiecte ineficiente dezvoltate de echipe ineficiente).",1
"Gojira, de ce te-ai oprit, care-i faza cu primar la Gura Humorului? Tell me yours, I'll tell you mine",1
"Adu-l pe Banciu, tovarase!",1
de fapt voi e rusi cine va plateste,1
"A tunat i ia adunat, sau a ordonat.",1
"Mito podcastul, invitaii, gazda care tie carte etc. Da' totui, s v bgai ""vinul"" fr alcool n cur. Sau s-l numii altfel, c ""vin"" e un afront la adresa vinului. Ch!",1
"sta este unul dintre cele mai plcute podcast-uri ale tale, alturi de un alt om contient i cult. nici mcar o secund nu am dat skip i asta nseamn mult.",1
"Bai Gojira, eu inteleg frate ca vrei tu sa fii centrist si sa fii tu golanul erudit al rii si ca e un comentariu literar la caterinca al manelelor, dar lasa-o dreacu de treaba. Manelele sunt doar niste piese la care sa nu trebuiasca sa stai sa despici firul in patru i doar sa te distrezi pe ele. Att. Deci lasa-ne te rog manele pentru divertismentul de 2 minute al creierului, pentru ca de asta sunt creeate. Mulumesc!",1
Gojira este super patraru.esti tare,1
"Wow! Ce grea o sa fie haina libertii pentru rui dac vreodat or sa fie liberi! Cnd eti liber, fr ""tata Putin"" n spate eti si Responsabil! Responsabilitatea nu te las sa te victimizezi! Si victimizarea e dulce! Dispare laptele matern si mierea.",1
"Faptul ca voi 2 sunteti rasariti si v-ati desteptat, nu face ca geneeatia voastra sa fie la fel. Sunt o generatie de idioti care cred ca le stiu pe toate dar in acelasi timp pun botul la toate cacaturile. Majoritatea sunt de extrema dreapta si lipsiti de orice simt de comunitate. In ce sens privilegiati?",1
"As vrea sa stiu si eu la ce interviuri, la ce statistici se refera aici gojira cand zice de ""tineri care isi doresc dictatura"" ca n-am auzit si n-am vazut asa ceva.",1
Auzi ca pana acuma romanii au votat binepsd i PNL e bine fmm?!,1
@1:10:30 stie cineva sa ne explice cum influenteaza somajul rata inflatiei? ca mie imi pare ca inflatia ar scadea in cazul cresterii ratei somajului.,1
"Gojiro, c tot eti tu biat cu carte, zi i tu celui care se ocup cu titlul cum s foloseasc ghilimele. E absurd cum vorbii de teme grele i s se fac bine (adic alii) i voi nu nimerii s punei un citat n ghilimele. E mai mare ruinea.",1
"Un podcast foarte bun, n care auzi multe lucruri noi. Totui, putea fi mai bun dac l lsai pe Drago s i termine ideile fr a-l ntrerupe cu parantezele tale",1
Spui gojira i tragi apa,1
Sa-ti dea Dumnezeu sntate Gicule,1
Best!,1
Navali a militat pt libertate biatule :-),1
