Comment,Cluster
Sustinem pina la capat Calin Georgescu Presedintele Romaniei <br>Mergem cu Dumnezeu inainte,1
Amin!,0
Susțin Călin Georgescu președinte României...♥️🙏🇹🇩,3
Bucurați-vă de Creatie și lăudați inima dreaptă!,1
🎉❤ 🎉va fi hora biruinței 🎉❤🎉,1
🇵🇱♥️🇦🇩<br>Go Câlin Georgescu. Make Romania Great Again,3
"Sau decoperit tentaculele maligne. Acum , venite la lumină se vor usca și se vor risipi .",4
Uniți vom învinge !!!,4
28 februarie se împlinesc 240 de ani de la uciderea lui Horea și Cloșca. Astăzi trăim vremuri asemănătoare acelor timpuri. Se dorește distrugerea identității naționale și a religiei creștine. Călin Georgescu președintele României! Dumnezeu să vă ajute! Multă sănătate!,1
Susținem CĂLIN GEORGESCU PREȘEDINTE ROMÂNIEI,3
Sostegno per Calin Georgescu,1
Dumnezeu SA Ne AJUTE SA-l Avem ca si presedinte pe DOMNUL CALIN GEORGESCU ❤,1
Sutin pe dl. CĂLIN GEORGESCU PREȘEDINTE!,3
Domnule Calin Georgescu ar trebui sa fiti mai discret față de doamna Alexandrescu,3
🩵🩵🩵,2
Calin Georgescu Președintele Romaniei 🙏🙏🙏🇹🇩🇹🇩🇹🇩🇹🇩,3
Toți prietenii mei pe care ii cunosc sunt alaturi de președintele nostru. Și pe dvs va iubesc,1
Să știți că tot ce se întâmplă pe lângă dvs. E balamuc. Dar toată lumea care nu reacționează și nu se vede la tv  știți că e cu dvs. Și cu președintele nostru. Deci nu că necăjiți pe tema asta. Suntem alături de dvs.,1
Sărut-mâna doamnă,0
Sustinem Calin Georgescu ❤,3
"Trezirea in constiinta! Asta e marea victorie obtinuta deja. Si se vor trezi si altii, chiar si unii care acum executa niste ordine. Judecatori, politisti, jurnalisti, jandarmi. Si ei au ceva mareț in interiorul lor dar ego-ul lor e prea puternic inca si tine ascunsa acea maretie",1
🇷🇴🤝✌✌✌✌✌✌🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴🇷🇴,2
👏👏👏🇷🇴🇷🇴🇷🇴💪🏻💪🏻CG PREȘEDINTELE UNIC CE MAI POATE SALVA ROMÂNIA 🇷🇴,1
Nous sommes de tout cœur avec vous. Vous défendez la vraie démocratie.,4
Vă iubim domnule președinte!❤🇷🇴❤🇷🇴❤️🇷🇴,1
"Fraților,  nu mai putem tolera coruptia, dictatura si poliția politică!!! Am ajuns de râsul lumii...<br>Ieșiți  în stradă pe 1 Martie! TURUL 2 ÎNAPOI!!!",1
Suntem alături de Călin Georgescu președintele ales vrem turul doi înapoi Călin Georgescu  omul care  iubește poporul român stima și respect ❤❤💯💯💯🙏🙏🙏🙏🙏,1
"Aveti aici un motiv sa mergeti inainte <a href=""https://www.youtube.com/watch?v=IOBCcWgULXU&amp;t=493"">https://www.youtube.com/watch?v=IOBCcWgULXU&amp;t=493s</a> pentru ca va spun eu v-ati nascut special pentru evenimentul acesta facut pentru dvs. de Dumnezeu care este Dreptatea si Adevarul in PERSOANA. Trebuie sa ganditi aici la termenul de &#39;karma&#39; si Adevar - Dreptate ptr. ce v-a facut intunericul si va face si acum.",1
❤,2
Astea sunt corupții toții de acea le este frica,1
"Sîntem toți de acord să NU STĂM în genunchi în fața Americii sau altora, dar să alegi unul care , AUZI ,  dă la schimb MINELE țării !!!!! Auzi ce i-a trecut prin gând, el s-a și văzut președinte și auziți oameni, ce vrea să facă, să dea mine &quot;în secunda 0&quot;, altor ordinari și mercenari !!!!!",1
"Ce popor care se lasă amăgit de toți impostorii dar aruncă cu pietre în cei care îi spun ADEVĂRUL!! Un popor care NU e mulțumit de nimic dar căruia îi plac amăgitorii gen Georgescu și nu numai, care îl manipulează precum vulpea pe corb.<br>Probabil de aceea a avut soarta pe care a avut-o în istorie...",1
"Eu nu știu de ce, în această biată Țară, au credit toți Impostorii ?? DE CE ??? Nu am reușit să găsesc încă un răspuns... încă mă întreb 😔 Dar mă bucur că totuși Dumnezeu are milă și, când totul devine prea mult, îngăduie să se afle măcar o parte din Adevăr. Așa cum se ÎNTÂMPLĂ ACUM cu acest individ Georgescu... Bula s-a spart și minciunile ies la iveală!!",1
"Mulți am ajuns să fim din ce în ce mai siguri că trebuie să câștigați aceste alegeri; dacă în primul tur nici nu am vrut să votez, acum sunt sigur că doar votând avem șansa de a schimba în bine România. Vă mulțumesc pentru această speranță de a reveni acasă. Și regret nespus că nu pot participa direct în această bătălie cu corupția din România.",1
"Free Romanie 👍👍👍 , but free Ukraine....",0
"domnule așa zis președinte, vorbești de DUMNEZEU dar tu vrei fala ta, scuze dvs, vrei schimbare cu adevărat? Schimbarea cu adevărat vin",1
"Carnavalul Miorița e în toi...<br>Toți băiețeii și mămicile lor iși smulg părul de pe cap că tre&#39; sa facă ,,baiatul mamei,, 3 luni de armată...auuu auuuu😢😢😢😢",1
"calin president !!<br><br>Au fait ils en pensent quoi les Roumains ?<br>Ah oui j&#39;ai oublié le peuple vote mal, il faut le remettre dans le droit chemin....",4
"Austria este a ta toți Români de aici te vor , vota",1
"Apă,hrană și pușcărie. Acesta e noul program a lui Georgescu. În curând",3
"CREDINTA sa ne fie mai mare decat frica. Cine te infurie, te cucereste. Atentia si energia noastra trebuie indreptate spre ceea ce ne dorim: IUBIRE, Curaj, Claritate, Putere Interioara, Integritate, Apreciere, Libertate, Creativitate, Umanitate, Conectivitate, toate aceste valori regasindu-se in Omul Calin Georgescu. Nu faceti greseala de a va lasa energia sa hraneasca fortele intunericului, ci doar LUMINA! Vedeti-l bine si ajuns la carma tarii! Asa sa ne-ajute Dumnezeu!",1
"Dall&#39; italia pieno sostegno a quest&#39; uomo che cerca di sconfiggere la corruzione in Romania e in Europa. Rumeni scendete in piazza e protestate, RIVOLUZIONE!!!",1
❤,2
Eu nu inteleg de ce toate legaturile telefonice sunt intotdeauna atat de slabe la realitatea. Faceti si voi ceva.,1
Oameni spalati pe creier...tara asta a mai trecut pri. asta cu Iliescu.. nu v a ajuns...,1
"Nu renunțați, băieți. Uniunea Europeană se teme și tot ce nu merge în sensul ei este constant atacat. Apoi, își permit să dea lecții de democrație lumii. Nu vă lăsați impresionați de aceste atacuri împotriva democrației voastre. În Franța, niciun canal de televiziune nu vorbește despre asta la ore de maximă audiență, doar articole pe internet. Între timp, nu Ursula von der Leyen trebuie să răspundă pentru deciziile sale, și cu atât mai puțin pentru mesajele sale cu Pfizer.",1
"After threats from You Tube, the post had to be edited: Brussels is raping Romania and terrorizing the freedom of Romanians, Choose Georgescu, the Czechs are keeping their fingers crossed for you!",0
Everyone in the world is with Calin Georgescu who is an honest man who fights against dictatorship and in favour of freedom and democracy !,0
"Da, CG. este demult timp președinte, de anul trecut!",1
"iar si-a luat informatiile din apa .. apa din wc.. <br>are nevoie de suplimente, precum nanochipuri din pepsi",1
"Nu se aude bine, sunetisti de carton ai realității tv",1
De ce lua bani de la Potra?,0
Susțin Călin Georgescu ! Sunt siderată de atitudinea sistemului,3
